Date,Race,Location,Distance,Course
18/04/2010,3,Happy Valley, 1650M ,Class 4 
18/04/2010,4,Happy Valley, 1650M ,Class 4 
18/04/2010,5,Happy Valley, 2200M ,Class 4 
18/04/2010,6,Happy Valley, 1650M ,Class 3 
18/04/2010,7,Happy Valley, 1800M ,Class 1 
18/04/2010,8,Happy Valley, 1200M ,Class 3 
18/04/2010,9,Happy Valley, 1200M ,Class 2 
18/04/2010,10,Happy Valley, 1650M ,Class 2 
21/04/2010,1,Happy Valley, 1000M ,Class 4 
21/04/2010,2,Happy Valley, 1650M ,Class 4 
21/04/2010,3,Happy Valley, 1800M ,Class 5 
21/04/2010,5,Happy Valley, 1200M ,Class 3 
21/04/2010,6,Happy Valley, 2200M ,Class 3 
25/04/2010,1,Sha Tin, 1800M ,Class 4 
25/04/2010,2,Sha Tin, 1200M ,Class 3 
25/04/2010,3,Sha Tin, 1200M ,Class 4 
25/04/2010,4,Sha Tin, 1600M ,Class 4 
25/04/2010,5,Sha Tin, 1200M ,Class 2 
25/04/2010,6,Sha Tin, 1600M ,Class 3 
25/04/2010,9,Sha Tin, 1400M ,Class 3 
25/04/2010,10,Sha Tin, 1400M ,Class 1 
28/04/2010,1,Happy Valley, 1650M ,Class 4 
28/04/2010,2,Happy Valley, 1650M ,Class 5 
28/04/2010,3,Happy Valley, 1200M ,Class 3 
28/04/2010,4,Happy Valley, 1200M ,Class 4 
28/04/2010,5,Happy Valley, 1200M ,Class 4 
28/04/2010,6,Happy Valley, 1650M ,Class 4 
28/04/2010,7,Happy Valley, 1800M ,Class 3 
28/04/2010,8,Happy Valley, 1650M ,Class 3 
01/05/2010,2,Sha Tin, 2000M ,Class 5 
01/05/2010,3,Sha Tin, 1600M ,Class 5 
01/05/2010,4,Sha Tin, 1600M ,Class 4 
01/05/2010,5,Sha Tin, 1200M ,Class 4 
01/05/2010,6,Sha Tin, 1200M ,Class 4 
01/05/2010,7,Sha Tin, 1400M ,Class 4 
01/05/2010,9,Sha Tin, 1200M ,Class 3 
01/05/2010,10,Sha Tin, 1400M ,Class 3 
01/05/2010,11,Sha Tin, 1600M ,Class 1 
05/05/2010,1,Sha Tin, 1200M ,Class 4 
05/05/2010,2,Sha Tin, 1650M ,Class 5 
05/05/2010,3,Sha Tin, 1200M ,Class 3 
05/05/2010,4,Sha Tin, 1800M ,Class 4 
05/05/2010,5,Sha Tin, 1650M ,Class 4 
05/05/2010,6,Sha Tin, 1200M ,Class 3 
05/05/2010,7,Sha Tin, 1200M ,Class 2 
05/05/2010,8,Sha Tin, 1650M ,Class 3 
08/05/2010,1,Sha Tin, 1400M ,Class 5 
08/05/2010,2,Sha Tin, 1200M ,Class 4 
08/05/2010,3,Sha Tin, 1000M ,Class 4 
08/05/2010,4,Sha Tin, 1400M ,Class 5 
08/05/2010,5,Sha Tin, 1400M ,Class 4 
08/05/2010,6,Sha Tin, 1600M ,Class 4 
08/05/2010,7,Sha Tin, 1000M ,Class 3 
08/05/2010,9,Sha Tin, 1400M ,Class 3 
08/05/2010,10,Sha Tin, 1800M ,Class 3 
12/05/2010,1,Happy Valley, 1200M ,Class 5 
12/05/2010,2,Happy Valley, 1200M ,Class 4 
12/05/2010,4,Happy Valley, 1650M ,Class 4 
12/05/2010,5,Happy Valley, 1000M ,Class 3 
12/05/2010,6,Happy Valley, 1200M ,Class 3 
12/05/2010,7,Happy Valley, 1000M ,Class 1 
12/05/2010,8,Happy Valley, 1650M ,Class 3 
16/05/2010,2,Sha Tin, 1200M ,Class 4 
16/05/2010,3,Sha Tin, 1600M ,Class 5 
16/05/2010,4,Sha Tin, 1200M ,Class 3 
16/05/2010,5,Sha Tin, 1800M ,Class 4 
16/05/2010,6,Sha Tin, 1400M ,Class 4 
16/05/2010,7,Sha Tin, 1400M ,Class 4 
16/05/2010,8,Sha Tin, 1200M ,Class 3 
16/05/2010,9,Sha Tin, 1400M ,Class 3 
16/05/2010,10,Sha Tin, 1600M ,Class 3 
16/05/2010,11,Sha Tin, 1400M ,Class 2 
19/05/2010,1,Happy Valley, 1000M ,Class 4 
19/05/2010,2,Happy Valley, 1650M ,Class 5 
19/05/2010,3,Happy Valley, 1200M ,Class 3 
19/05/2010,4,Happy Valley, 1650M ,Class 4 
19/05/2010,5,Happy Valley, 1200M ,Class 4 
19/05/2010,7,Happy Valley, 1800M ,Class 3 
19/05/2010,8,Happy Valley, 1800M ,Class 2 
23/05/2010,1,Sha Tin, 1000M ,Class 4 
23/05/2010,2,Sha Tin, 1200M ,Class 4 
23/05/2010,3,Sha Tin, 1400M ,Class 3 
23/05/2010,4,Sha Tin, 1200M ,Class 5 
23/05/2010,5,Sha Tin, 1400M ,Class 4 
23/05/2010,6,Sha Tin, 1600M ,Class 4 
23/05/2010,8,Sha Tin, 1600M ,Class 1 
23/05/2010,9,Sha Tin, 1200M ,Class 3 
23/05/2010,10,Sha Tin, 1200M ,Class 2 
26/05/2010,1,Happy Valley, 1800M ,Class 5 
26/05/2010,2,Happy Valley, 1650M ,Class 4 
26/05/2010,3,Happy Valley, 2200M ,Class 4 
26/05/2010,4,Happy Valley, 1200M ,Class 4 
26/05/2010,6,Happy Valley, 1000M ,Class 3 
26/05/2010,7,Happy Valley, 1650M ,Class 3 
26/05/2010,8,Happy Valley, 1200M ,Class 3 
30/05/2010,2,Sha Tin, 1200M ,Class 5 
30/05/2010,3,Sha Tin, 1200M ,Class 4 
30/05/2010,4,Sha Tin, 1200M ,Class 4 
30/05/2010,5,Sha Tin, 2000M ,Class 3 
30/05/2010,6,Sha Tin, 1650M ,Class 4 
30/05/2010,7,Sha Tin, 1400M ,Class 4 
30/05/2010,9,Sha Tin, 1200M ,Class 3 
02/06/2010,1,Happy Valley, 1000M ,Class 5 
02/06/2010,2,Happy Valley, 1000M ,Class 4 
02/06/2010,3,Happy Valley, 1650M ,Class 4 
02/06/2010,4,Happy Valley, 1200M ,Class 4 
02/06/2010,5,Happy Valley, 1800M ,Class 3 
02/06/2010,6,Happy Valley, 1650M ,Class 3 
02/06/2010,7,Happy Valley, 1200M ,Class 1 
02/06/2010,8,Happy Valley, 1200M ,Class 3 
06/06/2010,1,Sha Tin, 1200M ,Class 4 
06/06/2010,2,Sha Tin, 1800M ,Class 5 
06/06/2010,3,Sha Tin, 1800M ,Class 4 
06/06/2010,4,Sha Tin, 1600M ,Class 4 
06/06/2010,5,Sha Tin, 1400M ,Class 5 
06/06/2010,6,Sha Tin, 1400M ,Class 4 
06/06/2010,7,Sha Tin, 1600M ,Class 3 
06/06/2010,8,Sha Tin, 1200M ,Class 3 
06/06/2010,9,Sha Tin, 1400M ,Class 3 
06/06/2010,10,Sha Tin, 1600M ,Class 2 
06/06/2010,11,Sha Tin, 1400M ,Class 2 
09/06/2010,1,Happy Valley, 1650M ,Class 5 
09/06/2010,2,Happy Valley, 1650M ,Class 4 
09/06/2010,3,Happy Valley, 1200M ,Class 4 
09/06/2010,4,Happy Valley, 1650M ,Class 3 
09/06/2010,5,Happy Valley, 1650M ,Class 4 
09/06/2010,6,Happy Valley, 1200M ,Class 3 
09/06/2010,7,Happy Valley, 1000M ,Class 3 
09/06/2010,8,Happy Valley, 1800M ,Class 1 
12/06/2010,1,Sha Tin, 1400M ,Class 5 
12/06/2010,2,Sha Tin, 1000M ,Class 4 
12/06/2010,3,Sha Tin, 1200M ,Class 4 
12/06/2010,4,Sha Tin, 1600M ,Class 5 
12/06/2010,6,Sha Tin, 1800M ,Class 3 
12/06/2010,7,Sha Tin, 1000M ,Class 3 
12/06/2010,8,Sha Tin, 1200M ,Class 1 
12/06/2010,9,Sha Tin, 1400M ,Class 3 
12/06/2010,10,Sha Tin, 1600M ,Class 2 
16/06/2010,2,Sha Tin, 1800M ,Class 5 
16/06/2010,3,Sha Tin, 2000M ,Class 4 
16/06/2010,4,Sha Tin, 1200M ,Class 4 
16/06/2010,5,Sha Tin, 1400M ,Class 4 
16/06/2010,6,Sha Tin, 1600M ,Class 4 
16/06/2010,7,Sha Tin, 1600M ,Class 3 
16/06/2010,8,Sha Tin, 1200M ,Class 3 
16/06/2010,10,Sha Tin, 1400M ,Class 3 
16/06/2010,11,Sha Tin, 1200M ,Class 2 
20/06/2010,1,Happy Valley, 1200M ,Class 5 
20/06/2010,2,Happy Valley, 1000M ,Class 4 
20/06/2010,3,Happy Valley, 1200M ,Class 3 
20/06/2010,4,Happy Valley, 1200M ,Class 4 
20/06/2010,5,Happy Valley, 1650M ,Class 4 
20/06/2010,6,Happy Valley, 1800M ,Class 4 
20/06/2010,7,Happy Valley, 2200M ,Class 3 
20/06/2010,8,Happy Valley, 1200M ,Class 3 
20/06/2010,9,Happy Valley, 1650M ,Class 3 
20/06/2010,10,Happy Valley, 1650M ,Class 2 
27/06/2010,2,Sha Tin, 1200M ,Class 4 
27/06/2010,3,Sha Tin, 1400M ,Class 4 
27/06/2010,4,Sha Tin, 1650M ,Class 5 
27/06/2010,5,Sha Tin, 1650M ,Class 4 
27/06/2010,6,Sha Tin, 1200M ,Class 4 
27/06/2010,7,Sha Tin, 1400M ,Class 4 
27/06/2010,8,Sha Tin, 2000M ,Class 1 
27/06/2010,9,Sha Tin, 1200M ,Class 3 
27/06/2010,10,Sha Tin, 1600M ,Class 3 
27/06/2010,11,Sha Tin, 1400M ,Class 3 
01/07/2010,1,Sha Tin, 1000M ,Class 4 
01/07/2010,2,Sha Tin, 1400M ,Class 5 
01/07/2010,3,Sha Tin, 1200M ,Class 3 
01/07/2010,4,Sha Tin, 1400M ,Class 4 
01/07/2010,5,Sha Tin, 1600M ,Class 4 
01/07/2010,6,Sha Tin, 1600M ,Class 4 
01/07/2010,7,Sha Tin, 1000M ,Class 3 
01/07/2010,8,Sha Tin, 1800M ,Class 3 
01/07/2010,9,Sha Tin, 1400M ,Class 3 
01/07/2010,10,Sha Tin, 1400M ,Class 1 
04/07/2010,2,Sha Tin, 1000M ,Class 5 
04/07/2010,3,Sha Tin, 1600M ,Class 5 
04/07/2010,4,Sha Tin, 1200M ,Class 4 
04/07/2010,6,Sha Tin, 1800M ,Class 4 
04/07/2010,7,Sha Tin, 1650M ,Class 2 
04/07/2010,8,Sha Tin, 1600M ,Class 3 
04/07/2010,9,Sha Tin, 1200M ,Class 3 
04/07/2010,10,Sha Tin, 1000M ,Class 1 
04/07/2010,11,Sha Tin, 1400M ,Class 3 
07/07/2010,1,Happy Valley, 1800M ,Class 5 
07/07/2010,3,Happy Valley, 1200M ,Class 4 
07/07/2010,4,Happy Valley, 1650M ,Class 4 
07/07/2010,5,Happy Valley, 1000M ,Class 3 
07/07/2010,6,Happy Valley, 1200M ,Class 3 
07/07/2010,7,Happy Valley, 1800M ,Class 2 
07/07/2010,8,Happy Valley, 1650M ,Class 3 
11/07/2010,1,Sha Tin, 1200M ,Class 4 
11/07/2010,2,Sha Tin, 1200M ,Class 4 
11/07/2010,3,Sha Tin, 1400M ,Class 4 
11/07/2010,4,Sha Tin, 1600M ,Class 2 
11/07/2010,5,Sha Tin, 1400M ,Class 5 
11/07/2010,6,Sha Tin, 1600M ,Class 4 
11/07/2010,7,Sha Tin, 1400M ,Class 3 
11/07/2010,8,Sha Tin, 1600M ,Class 1 
11/07/2010,9,Sha Tin, 1200M ,Class 3 
11/07/2010,10,Sha Tin, 1600M ,Class 3 
11/07/2010,11,Sha Tin, 1400M ,Class 2 
14/07/2010,1,Happy Valley, 1200M ,Class 5 
14/07/2010,2,Happy Valley, 1650M ,Class 4 
14/07/2010,3,Happy Valley, 1200M ,Class 4 
14/07/2010,4,Happy Valley, 1800M ,Class 4 
14/07/2010,5,Happy Valley, 1800M ,Class 3 
14/07/2010,6,Happy Valley, 1200M ,Class 3 
14/07/2010,7,Happy Valley, 1650M ,Class 3 
14/07/2010,8,Happy Valley, 1200M ,Class 1 
05/09/2010,1,Sha Tin, 1200M ,Class 5 
