Date,Race,Location,Distance,Course
03/04/2016,9,Sha Tin, 1200M ,Class 3 
03/04/2016,10,Sha Tin, 1400M ,Class 3 
06/04/2016,1,Sha Tin, 1200M ,Class 4 
06/04/2016,2,Sha Tin, 1800M ,Class 5 
06/04/2016,3,Sha Tin, 1200M ,Class 1 
06/04/2016,4,Sha Tin, 1650M ,Class 4 
06/04/2016,5,Sha Tin, 1800M ,Class 4 
06/04/2016,6,Sha Tin, 1200M ,Class 2 
06/04/2016,7,Sha Tin, 1650M ,Class 3 
06/04/2016,8,Sha Tin, 1200M ,Class 3 
10/04/2016,2,Sha Tin, 1400M ,Class 5 
10/04/2016,3,Sha Tin, 1200M ,Class 5 
10/04/2016,4,Sha Tin, 1200M ,Class 4 
10/04/2016,5,Sha Tin, 1600M ,Class 4 
10/04/2016,6,Sha Tin, 1000M ,Class 4 
10/04/2016,7,Sha Tin, 1200M ,Class 3 
10/04/2016,8,Sha Tin, 1800M ,Class 3 
10/04/2016,9,Sha Tin, 1600M ,Class 3 
10/04/2016,10,Sha Tin, 1400M ,Class 3 
10/04/2016,11,Sha Tin, 1400M ,Class 2 
13/04/2016,1,Happy Valley, 1000M ,Class 5 
13/04/2016,2,Happy Valley, 1200M ,Class 4 
13/04/2016,3,Happy Valley, 1200M ,Class 4 
13/04/2016,4,Happy Valley, 1650M ,Class 5 
13/04/2016,5,Happy Valley, 1650M ,Class 4 
13/04/2016,6,Happy Valley, 1200M ,Class 3 
13/04/2016,7,Happy Valley, 1000M ,Class 3 
13/04/2016,8,Happy Valley, 1650M ,Class 2 
13/04/2016,9,Happy Valley, 1650M ,Class 3 
16/04/2016,1,Sha Tin, 1650M ,Class 5 
16/04/2016,2,Sha Tin, 1400M ,Class 1 
16/04/2016,3,Sha Tin, 1000M ,Class 4 
16/04/2016,4,Sha Tin, 1200M ,Class 4 
16/04/2016,5,Sha Tin, 1200M ,Class 3 
16/04/2016,6,Sha Tin, 1400M ,Class 4 
16/04/2016,7,Sha Tin, 1800M ,Class 4 
16/04/2016,8,Sha Tin, 1200M ,Class 3 
16/04/2016,9,Sha Tin, 1400M ,Class 3 
16/04/2016,10,Sha Tin, 1200M ,Class 2 
20/04/2016,1,Happy Valley, 1800M ,Class 5 
20/04/2016,2,Happy Valley, 1650M ,Class 4 
20/04/2016,3,Happy Valley, 1200M ,Class 4 
20/04/2016,4,Happy Valley, 1650M ,Class 4 
20/04/2016,5,Happy Valley, 2200M ,Class 3 
20/04/2016,6,Happy Valley, 1000M ,Class 3 
20/04/2016,7,Happy Valley, 1650M ,Class 3 
20/04/2016,8,Happy Valley, 1200M ,Class 3 
24/04/2016,1,Sha Tin, 1400M ,Class 5 
24/04/2016,2,Sha Tin, 1400M ,Class 4 
24/04/2016,3,Sha Tin, 1200M ,Class 4 
24/04/2016,4,Sha Tin, 1200M ,Class 3 
24/04/2016,6,Sha Tin, 1600M ,Class 4 
24/04/2016,7,Sha Tin, 1400M ,Class 3 
24/04/2016,9,Sha Tin, 1600M ,Class 3 
24/04/2016,10,Sha Tin, 1600M ,Class 2 
27/04/2016,1,Happy Valley, 1650M ,Class 5 
27/04/2016,2,Happy Valley, 1000M ,Class 4 
27/04/2016,3,Happy Valley, 1200M ,Class 5 
27/04/2016,4,Happy Valley, 1200M ,Class 4 
27/04/2016,5,Happy Valley, 1800M ,Class 4 
27/04/2016,6,Happy Valley, 1200M ,Class 3 
27/04/2016,7,Happy Valley, 1650M ,Class 3 
27/04/2016,8,Happy Valley, 1200M ,Class 2 
01/05/2016,2,Sha Tin, 2200M ,Class 5 
01/05/2016,3,Sha Tin, 1400M ,Class 4 
01/05/2016,4,Sha Tin, 2000M ,Class 3 
01/05/2016,5,Sha Tin, 1400M ,Class 4 
01/05/2016,6,Sha Tin, 1200M ,Class 4 
01/05/2016,9,Sha Tin, 1400M ,Class 2 
01/05/2016,10,Sha Tin, 1400M ,Class 3 
01/05/2016,11,Sha Tin, 1200M ,Class 3 
04/05/2016,1,Happy Valley, 1650M ,Class 5 
04/05/2016,2,Happy Valley, 1000M ,Class 4 
04/05/2016,3,Happy Valley, 1650M ,Class 4 
04/05/2016,4,Happy Valley, 1800M ,Class 1 
04/05/2016,5,Happy Valley, 1200M ,Class 4 
04/05/2016,6,Happy Valley, 1000M ,Class 3 
04/05/2016,7,Happy Valley, 1200M ,Class 3 
04/05/2016,8,Happy Valley, 1650M ,Class 3 
07/05/2016,1,Sha Tin, 1200M ,Class 5 
07/05/2016,2,Sha Tin, 1600M ,Class 4 
07/05/2016,3,Sha Tin, 1000M ,Class 2 
07/05/2016,4,Sha Tin, 1800M ,Class 4 
07/05/2016,5,Sha Tin, 1200M ,Class 4 
07/05/2016,6,Sha Tin, 1200M ,Class 4 
07/05/2016,7,Sha Tin, 1200M ,Class 3 
07/05/2016,8,Sha Tin, 1200M ,Class 3 
07/05/2016,9,Sha Tin, 1400M ,Class 3 
07/05/2016,10,Sha Tin, 1600M ,Class 3 
11/05/2016,1,Happy Valley, 1000M ,Class 5 
11/05/2016,2,Happy Valley, 1800M ,Class 5 
11/05/2016,3,Happy Valley, 1200M ,Class 4 
11/05/2016,4,Happy Valley, 1200M ,Class 4 
11/05/2016,5,Happy Valley, 1200M ,Class 3 
11/05/2016,6,Happy Valley, 1650M ,Class 4 
11/05/2016,7,Happy Valley, 1800M ,Class 3 
11/05/2016,8,Happy Valley, 1200M ,Class 3 
14/05/2016,1,Sha Tin, 1400M ,Class 5 
14/05/2016,2,Sha Tin, 1650M ,Class 4 
14/05/2016,3,Sha Tin, 1400M ,Class 4 
14/05/2016,4,Sha Tin, 1000M ,Class 4 
14/05/2016,5,Sha Tin, 1200M ,Class 3 
14/05/2016,6,Sha Tin, 1000M ,Class 3 
14/05/2016,7,Sha Tin, 1650M ,Class 3 
14/05/2016,8,Sha Tin, 1400M ,Class 3 
14/05/2016,9,Sha Tin, 1400M ,Class 2 
14/05/2016,10,Sha Tin, 1800M ,Class 2 
18/05/2016,1,Happy Valley, 1200M ,Class 5 
18/05/2016,2,Happy Valley, 1650M ,Class 4 
18/05/2016,3,Happy Valley, 2200M ,Class 4 
18/05/2016,4,Happy Valley, 1200M ,Class 4 
18/05/2016,5,Happy Valley, 1000M ,Class 3 
18/05/2016,6,Happy Valley, 1650M ,Class 3 
18/05/2016,7,Happy Valley, 1650M ,Class 4 
18/05/2016,8,Happy Valley, 1650M ,Class 3 
18/05/2016,9,Happy Valley, 1200M ,Class 2 
22/05/2016,2,Sha Tin, 1800M ,Class 5 
22/05/2016,3,Sha Tin, 1200M ,Class 4 
22/05/2016,5,Sha Tin, 1600M ,Class 4 
22/05/2016,6,Sha Tin, 1400M ,Class 4 
22/05/2016,7,Sha Tin, 1800M ,Class 3 
22/05/2016,9,Sha Tin, 1200M ,Class 3 
22/05/2016,10,Sha Tin, 1650M ,Class 2 
22/05/2016,11,Sha Tin, 1400M ,Class 3 
29/05/2016,1,Sha Tin, 1200M ,Class 4 
29/05/2016,2,Sha Tin, 1600M ,Class 5 
29/05/2016,3,Sha Tin, 1000M ,Class 4 
29/05/2016,4,Sha Tin, 1400M ,Class 4 
29/05/2016,5,Sha Tin, 1200M ,Class 3 
29/05/2016,6,Sha Tin, 1400M ,Class 4 
29/05/2016,7,Sha Tin, 1000M ,Class 3 
29/05/2016,9,Sha Tin, 1600M ,Class 3 
29/05/2016,10,Sha Tin, 1200M ,Class 2 
01/06/2016,1,Happy Valley, 1650M ,Class 5 
01/06/2016,2,Happy Valley, 1200M ,Class 4 
01/06/2016,3,Happy Valley, 1200M ,Class 4 
01/06/2016,4,Happy Valley, 1650M ,Class 4 
01/06/2016,5,Happy Valley, 1200M ,Class 3 
01/06/2016,6,Happy Valley, 1800M ,Class 4 
01/06/2016,7,Happy Valley, 1200M ,Class 3 
01/06/2016,8,Happy Valley, 1800M ,Class 3 
05/06/2016,1,Sha Tin, 1200M ,Class 4 
05/06/2016,2,Sha Tin, 2000M ,Class 5 
05/06/2016,3,Sha Tin, 1200M ,Class 4 
05/06/2016,4,Sha Tin, 1600M ,Class 4 
05/06/2016,5,Sha Tin, 1400M ,Class 4 
05/06/2016,6,Sha Tin, 1200M ,Class 3 
05/06/2016,7,Sha Tin, 1200M ,Class 3 
05/06/2016,8,Sha Tin, 1600M ,Class 3 
05/06/2016,9,Sha Tin, 1800M ,Class 2 
05/06/2016,10,Sha Tin, 1400M ,Class 3 
09/06/2016,1,Happy Valley, 1200M ,Class 4 
09/06/2016,2,Happy Valley, 1200M ,Class 5 
09/06/2016,3,Happy Valley, 1000M ,Class 4 
09/06/2016,4,Happy Valley, 1650M ,Class 4 
09/06/2016,5,Happy Valley, 1200M ,Class 3 
09/06/2016,6,Happy Valley, 1650M ,Class 4 
09/06/2016,7,Happy Valley, 1000M ,Class 3 
09/06/2016,8,Happy Valley, 1650M ,Class 3 
09/06/2016,9,Happy Valley, 1650M ,Class 3 
09/06/2016,10,Happy Valley, 1200M ,Class 2 
12/06/2016,2,Sha Tin, 1650M ,Class 5 
12/06/2016,3,Sha Tin, 1400M ,Class 5 
12/06/2016,4,Sha Tin, 1200M ,Class 4 
12/06/2016,5,Sha Tin, 1400M ,Class 4 
12/06/2016,6,Sha Tin, 1800M ,Class 4 
12/06/2016,7,Sha Tin, 1650M ,Class 3 
12/06/2016,8,Sha Tin, 1400M ,Class 4 
12/06/2016,9,Sha Tin, 1000M ,Class 3 
12/06/2016,10,Sha Tin, 1200M ,Class 3 
15/06/2016,2,Happy Valley, 1650M ,Class 4 
15/06/2016,3,Happy Valley, 1200M ,Class 4 
15/06/2016,4,Happy Valley, 1650M ,Class 3 
15/06/2016,5,Happy Valley, 1200M ,Class 4 
15/06/2016,6,Happy Valley, 1200M ,Class 3 
15/06/2016,7,Happy Valley, 1200M ,Class 3 
15/06/2016,8,Happy Valley, 1650M ,Class 2 
19/06/2016,1,Sha Tin, 1000M ,Class 4 
19/06/2016,2,Sha Tin, 1200M ,Class 4 
19/06/2016,4,Sha Tin, 1600M ,Class 4 
19/06/2016,5,Sha Tin, 1200M ,Class 3 
19/06/2016,6,Sha Tin, 1200M ,Class 3 
19/06/2016,7,Sha Tin, 1400M ,Class 3 
19/06/2016,9,Sha Tin, 1200M ,Class 2 
19/06/2016,10,Sha Tin, 1200M ,Class 2 
19/06/2016,11,Sha Tin, 1400M ,Class 3 
22/06/2016,1,Happy Valley, 1200M ,Class 4 
22/06/2016,2,Happy Valley, 1000M ,Class 4 
22/06/2016,3,Happy Valley, 1000M ,Class 3 
22/06/2016,4,Happy Valley, 1200M ,Class 5 
22/06/2016,5,Happy Valley, 1650M ,Class 4 
22/06/2016,6,Happy Valley, 2200M ,Class 3 
22/06/2016,7,Happy Valley, 1200M ,Class 3 
22/06/2016,8,Happy Valley, 1650M ,Class 3 
26/06/2016,1,Sha Tin, 1800M ,Class 5 
26/06/2016,2,Sha Tin, 1200M ,Class 4 
26/06/2016,3,Sha Tin, 1200M ,Class 4 
26/06/2016,4,Sha Tin, 1650M ,Class 4 
26/06/2016,5,Sha Tin, 2000M ,Class 4 
26/06/2016,6,Sha Tin, 1400M ,Class 4 
26/06/2016,7,Sha Tin, 1200M ,Class 3 
26/06/2016,8,Sha Tin, 1200M ,Class 3 
26/06/2016,9,Sha Tin, 1600M ,Class 3 
26/06/2016,10,Sha Tin, 1600M ,Class 2 
01/07/2016,2,Sha Tin, 1000M ,Class 4 
01/07/2016,3,Sha Tin, 1200M ,Class 4 
01/07/2016,4,Sha Tin, 1400M ,Class 5 
01/07/2016,5,Sha Tin, 1600M ,Class 4 
01/07/2016,6,Sha Tin, 1000M ,Class 3 
01/07/2016,7,Sha Tin, 2000M ,Class 2 
01/07/2016,8,Sha Tin, 1400M ,Class 4 
01/07/2016,9,Sha Tin, 1200M ,Class 3 
01/07/2016,10,Sha Tin, 1650M ,Class 3 
01/07/2016,11,Sha Tin, 1400M ,Class 3 
06/07/2016,1,Happy Valley, 1200M ,Class 5 
06/07/2016,2,Happy Valley, 1650M ,Class 5 
06/07/2016,3,Happy Valley, 1200M ,Class 4 
06/07/2016,4,Happy Valley, 1800M ,Class 3 
06/07/2016,5,Happy Valley, 1200M ,Class 4 
06/07/2016,6,Happy Valley, 1000M ,Class 3 
06/07/2016,7,Happy Valley, 1650M ,Class 4 
06/07/2016,8,Happy Valley, 1200M ,Class 2 
06/07/2016,9,Happy Valley, 1200M ,Class 3 
10/07/2016,1,Sha Tin, 1200M ,Class 5 
10/07/2016,2,Sha Tin, 1800M ,Class 5 
10/07/2016,3,Sha Tin, 1800M ,Class 4 
10/07/2016,4,Sha Tin, 1200M ,Class 4 
10/07/2016,5,Sha Tin, 1400M ,Class 4 
10/07/2016,6,Sha Tin, 1400M ,Class 4 
10/07/2016,7,Sha Tin, 1600M ,Class 3 
10/07/2016,8,Sha Tin, 1600M ,Class 1 
10/07/2016,9,Sha Tin, 1200M ,Class 3 
10/07/2016,10,Sha Tin, 1400M ,Class 3 
10/07/2016,11,Sha Tin, 1400M ,Class 2 
03/09/2016,1,Sha Tin, 1200M ,Class 5 
03/09/2016,2,Sha Tin, 1400M ,Class 5 
03/09/2016,3,Sha Tin, 1200M ,Class 1 
03/09/2016,4,Sha Tin, 1000M ,Class 4 
03/09/2016,5,Sha Tin, 1400M ,Class 4 
03/09/2016,6,Sha Tin, 1200M ,Class 4 
03/09/2016,7,Sha Tin, 1000M ,Class 3 
03/09/2016,8,Sha Tin, 1200M ,Class 3 
03/09/2016,9,Sha Tin, 1400M ,Class 3 
03/09/2016,10,Sha Tin, 1400M ,Class 2 
07/09/2016,1,Happy Valley, 1200M ,Class 5 
07/09/2016,2,Happy Valley, 1200M ,Class 4 
07/09/2016,3,Happy Valley, 1650M ,Class 5 
07/09/2016,4,Happy Valley, 1650M ,Class 4 
07/09/2016,5,Happy Valley, 1200M ,Class 4 
07/09/2016,6,Happy Valley, 1650M ,Class 3 
07/09/2016,7,Happy Valley, 1200M ,Class 3 
07/09/2016,8,Happy Valley, 1200M ,Class 2 
11/09/2016,1,Sha Tin, 1000M ,Class 5 
11/09/2016,2,Sha Tin, 1200M ,Class 4 
11/09/2016,3,Sha Tin, 1400M ,Class 5 
11/09/2016,4,Sha Tin, 1200M ,Class 4 
11/09/2016,5,Sha Tin, 1400M ,Class 4 
11/09/2016,6,Sha Tin, 1200M ,Class 3 
11/09/2016,7,Sha Tin, 1600M ,Class 4 
11/09/2016,8,Sha Tin, 1200M ,Class 3 
11/09/2016,9,Sha Tin, 1400M ,Class 1 
11/09/2016,10,Sha Tin, 1600M ,Class 3 
18/09/2016,1,Sha Tin, 1650M ,Class 5 
18/09/2016,2,Sha Tin, 1200M ,Class 4 
18/09/2016,3,Sha Tin, 1650M ,Class 4 
18/09/2016,4,Sha Tin, 1000M ,Class 4 
18/09/2016,5,Sha Tin, 1400M ,Class 4 
18/09/2016,6,Sha Tin, 1200M ,Class 3 
18/09/2016,7,Sha Tin, 1000M ,Class 3 
18/09/2016,8,Sha Tin, 1400M ,Class 3 
18/09/2016,9,Sha Tin, 1000M ,Class 2 
18/09/2016,10,Sha Tin, 1400M ,Class 3 
21/09/2016,1,Happy Valley, 1800M ,Class 4 
21/09/2016,2,Happy Valley, 1800M ,Class 5 
21/09/2016,3,Happy Valley, 1200M ,Class 4 
21/09/2016,4,Happy Valley, 1650M ,Class 4 
21/09/2016,5,Happy Valley, 1200M ,Class 4 
21/09/2016,6,Happy Valley, 1200M ,Class 3 
21/09/2016,7,Happy Valley, 1200M ,Class 3 
21/09/2016,8,Happy Valley, 1650M ,Class 3 
25/09/2016,1,Sha Tin, 1200M ,Class 5 
25/09/2016,2,Sha Tin, 1600M ,Class 4 
25/09/2016,3,Sha Tin, 1400M ,Class 5 
25/09/2016,4,Sha Tin, 1200M ,Class 4 
25/09/2016,5,Sha Tin, 1200M ,Class 4 
25/09/2016,6,Sha Tin, 1400M ,Class 4 
25/09/2016,7,Sha Tin, 1200M ,Class 3 
25/09/2016,8,Sha Tin, 1200M ,Class 3 
25/09/2016,9,Sha Tin, 1600M ,Class 3 
25/09/2016,10,Sha Tin, 1400M ,Class 2 
28/09/2016,1,Happy Valley, 1650M ,Class 5 
28/09/2016,2,Happy Valley, 1200M ,Class 4 
28/09/2016,3,Happy Valley, 1650M ,Class 4 
28/09/2016,4,Happy Valley, 1200M ,Class 5 
28/09/2016,5,Happy Valley, 1000M ,Class 4 
28/09/2016,6,Happy Valley, 1800M ,Class 3 
28/09/2016,7,Happy Valley, 1200M ,Class 3 
28/09/2016,8,Happy Valley, 1650M ,Class 2 
01/10/2016,1,Sha Tin, 1400M ,Class 5 
01/10/2016,2,Sha Tin, 1800M ,Class 4 
01/10/2016,3,Sha Tin, 1400M ,Class 4 
01/10/2016,4,Sha Tin, 1600M ,Class 3 
01/10/2016,5,Sha Tin, 1200M ,Class 4 
01/10/2016,6,Sha Tin, 1200M ,Class 3 
01/10/2016,7,Sha Tin, 1200M ,Class 2 
01/10/2016,9,Sha Tin, 1400M ,Class 3 
01/10/2016,11,Sha Tin, 1200M ,Class 2 
05/10/2016,1,Happy Valley, 1800M ,Class 5 
05/10/2016,2,Happy Valley, 1200M ,Class 4 
05/10/2016,3,Happy Valley, 1200M ,Class 3 
05/10/2016,4,Happy Valley, 1200M ,Class 4 
05/10/2016,5,Happy Valley, 1650M ,Class 4 
05/10/2016,6,Happy Valley, 1650M ,Class 4 
05/10/2016,7,Happy Valley, 1650M ,Class 3 
05/10/2016,8,Happy Valley, 1200M ,Class 3 
08/10/2016,1,Sha Tin, 1200M ,Class 4 
08/10/2016,2,Sha Tin, 1200M ,Class 5 
08/10/2016,3,Sha Tin, 1200M ,Class 4 
08/10/2016,4,Sha Tin, 1400M ,Class 4 
08/10/2016,5,Sha Tin, 1650M ,Class 4 
08/10/2016,6,Sha Tin, 1650M ,Class 3 
08/10/2016,7,Sha Tin, 1000M ,Class 3 
08/10/2016,8,Sha Tin, 1600M ,Class 2 
08/10/2016,9,Sha Tin, 1200M ,Class 3 
08/10/2016,10,Sha Tin, 1400M ,Class 3 
12/10/2016,1,Happy Valley, 1650M ,Class 5 
12/10/2016,2,Happy Valley, 1200M ,Class 5 
12/10/2016,3,Happy Valley, 1650M ,Class 3 
12/10/2016,4,Happy Valley, 1200M ,Class 4 
12/10/2016,5,Happy Valley, 1650M ,Class 3 
12/10/2016,6,Happy Valley, 1000M ,Class 4 
12/10/2016,7,Happy Valley, 1800M ,Class 4 
12/10/2016,8,Happy Valley, 1200M ,Class 3 
16/10/2016,2,Sha Tin, 1600M ,Class 5 
16/10/2016,3,Sha Tin, 1400M ,Class 4 
16/10/2016,4,Sha Tin, 1200M ,Class 4 
16/10/2016,5,Sha Tin, 1400M ,Class 5 
16/10/2016,6,Sha Tin, 1600M ,Class 4 
16/10/2016,7,Sha Tin, 1800M ,Class 3 
16/10/2016,8,Sha Tin, 1200M ,Class 3 
16/10/2016,9,Sha Tin, 1400M ,Class 3 
16/10/2016,10,Sha Tin, 1000M ,Class 2 
16/10/2016,11,Sha Tin, 1400M ,Class 2 
19/10/2016,1,Happy Valley, 1000M ,Class 5 
19/10/2016,2,Happy Valley, 1800M ,Class 5 
19/10/2016,3,Happy Valley, 1200M ,Class 4 
19/10/2016,4,Happy Valley, 1200M ,Class 4 
19/10/2016,5,Happy Valley, 1650M ,Class 3 
19/10/2016,6,Happy Valley, 1650M ,Class 4 
19/10/2016,7,Happy Valley, 1200M ,Class 3 
19/10/2016,8,Happy Valley, 1200M ,Class 3 
23/10/2016,1,Sha Tin, 1200M ,Class 5 
23/10/2016,2,Sha Tin, 1200M ,Class 4 
23/10/2016,3,Sha Tin, 1400M ,Class 4 
23/10/2016,4,Sha Tin, 1400M ,Class 4 
23/10/2016,8,Sha Tin, 1600M ,Class 3 
23/10/2016,10,Sha Tin, 1800M ,Class 2 
26/10/2016,1,Happy Valley, 1200M ,Class 5 
26/10/2016,2,Happy Valley, 1650M ,Class 5 
26/10/2016,3,Happy Valley, 1650M ,Class 4 
26/10/2016,4,Happy Valley, 1000M ,Class 4 
26/10/2016,5,Happy Valley, 2200M ,Class 4 
26/10/2016,6,Happy Valley, 1650M ,Class 1 
26/10/2016,7,Happy Valley, 1000M ,Class 3 
26/10/2016,8,Happy Valley, 1650M ,Class 3 
30/10/2016,1,Happy Valley, 1650M ,Class 5 
30/10/2016,2,Happy Valley, 1800M ,Class 5 
30/10/2016,3,Happy Valley, 1200M ,Class 3 
30/10/2016,4,Happy Valley, 1650M ,Class 4 
30/10/2016,5,Happy Valley, 1200M ,Class 4 
30/10/2016,6,Happy Valley, 1650M ,Class 4 
30/10/2016,7,Happy Valley, 1650M ,Class 2 
30/10/2016,8,Happy Valley, 1200M ,Class 3 
30/10/2016,9,Happy Valley, 1800M ,Class 3 
30/10/2016,10,Happy Valley, 1200M ,Class 2 
02/11/2016,1,Sha Tin, 1200M ,Class 5 
02/11/2016,2,Sha Tin, 1200M ,Class 4 
02/11/2016,3,Sha Tin, 1650M ,Class 5 
02/11/2016,4,Sha Tin, 1200M ,Class 4 
02/11/2016,5,Sha Tin, 1200M ,Class 3 
02/11/2016,6,Sha Tin, 1800M ,Class 4 
02/11/2016,7,Sha Tin, 1200M ,Class 3 
02/11/2016,8,Sha Tin, 1650M ,Class 3 
06/11/2016,1,Sha Tin, 1400M ,Class 5 
06/11/2016,3,Sha Tin, 1400M ,Class 4 
06/11/2016,4,Sha Tin, 1200M ,Class 3 
06/11/2016,5,Sha Tin, 1000M ,Class 4 
06/11/2016,6,Sha Tin, 1600M ,Class 4 
06/11/2016,7,Sha Tin, 1400M ,Class 4 
06/11/2016,9,Sha Tin, 1400M ,Class 3 
06/11/2016,10,Sha Tin, 1400M ,Class 2 
06/11/2016,11,Sha Tin, 1400M ,Class 3 
09/11/2016,1,Happy Valley, 1000M ,Class 5 
09/11/2016,2,Happy Valley, 1650M ,Class 5 
09/11/2016,3,Happy Valley, 1650M ,Class 4 
09/11/2016,4,Happy Valley, 1200M ,Class 4 
09/11/2016,5,Happy Valley, 1200M ,Class 4 
09/11/2016,6,Happy Valley, 1800M ,Class 3 
09/11/2016,7,Happy Valley, 1200M ,Class 3 
09/11/2016,8,Happy Valley, 1200M ,Class 2 
12/11/2016,1,Sha Tin, 2000M ,Class 5 
12/11/2016,2,Sha Tin, 1200M ,Class 4 
12/11/2016,3,Sha Tin, 1650M ,Class 5 
12/11/2016,4,Sha Tin, 1400M ,Class 4 
12/11/2016,5,Sha Tin, 1650M ,Class 4 
12/11/2016,6,Sha Tin, 1400M ,Class 4 
12/11/2016,7,Sha Tin, 1000M ,Class 3 
12/11/2016,8,Sha Tin, 1400M ,Class 1 
12/11/2016,9,Sha Tin, 1200M ,Class 3 
12/11/2016,10,Sha Tin, 1600M ,Class 3 
16/11/2016,1,Happy Valley, 1200M ,Class 5 
16/11/2016,2,Happy Valley, 1000M ,Class 4 
16/11/2016,3,Happy Valley, 1200M ,Class 4 
16/11/2016,4,Happy Valley, 1650M ,Class 4 
16/11/2016,5,Happy Valley, 1650M ,Class 4 
16/11/2016,6,Happy Valley, 1650M ,Class 3 
16/11/2016,7,Happy Valley, 1800M ,Class 2 
16/11/2016,8,Happy Valley, 1200M ,Class 3 
20/11/2016,1,Sha Tin, 1400M ,Class 4 
20/11/2016,2,Sha Tin, 1200M ,Class 4 
20/11/2016,3,Sha Tin, 1800M ,Class 4 
20/11/2016,4,Sha Tin, 2000M ,Class 3 
20/11/2016,5,Sha Tin, 1400M ,Class 3 
20/11/2016,9,Sha Tin, 1600M ,Class 2 
20/11/2016,10,Sha Tin, 1200M ,Class 2 
23/11/2016,1,Happy Valley, 1000M ,Class 5 
23/11/2016,2,Happy Valley, 1800M ,Class 5 
23/11/2016,3,Happy Valley, 1200M ,Class 4 
23/11/2016,4,Happy Valley, 1200M ,Class 4 
23/11/2016,5,Happy Valley, 1650M ,Class 4 
23/11/2016,6,Happy Valley, 1650M ,Class 3 
23/11/2016,7,Happy Valley, 1650M ,Class 3 
23/11/2016,8,Happy Valley, 1200M ,Class 3 
27/11/2016,2,Sha Tin, 1400M ,Class 5 
27/11/2016,3,Sha Tin, 1000M ,Class 4 
27/11/2016,4,Sha Tin, 1200M ,Class 3 
27/11/2016,5,Sha Tin, 1200M ,Class 4 
27/11/2016,6,Sha Tin, 1600M ,Class 4 
27/11/2016,7,Sha Tin, 1600M ,Class 1 
27/11/2016,8,Sha Tin, 1200M ,Class 3 
27/11/2016,9,Sha Tin, 1600M ,Class 3 
27/11/2016,10,Sha Tin, 1400M ,Class 3 
27/11/2016,11,Sha Tin, 1400M ,Class 2 
30/11/2016,1,Happy Valley, 1200M ,Class 5 
30/11/2016,2,Happy Valley, 1650M ,Class 5 
30/11/2016,3,Happy Valley, 1200M ,Class 4 
30/11/2016,4,Happy Valley, 1200M ,Class 4 
30/11/2016,5,Happy Valley, 1800M ,Class 4 
30/11/2016,6,Happy Valley, 1200M ,Class 3 
30/11/2016,7,Happy Valley, 1800M ,Class 3 
30/11/2016,8,Happy Valley, 1200M ,Class 3 
04/12/2016,1,Sha Tin, 1200M ,Class 5 
04/12/2016,2,Sha Tin, 1800M ,Class 5 
04/12/2016,3,Sha Tin, 1200M ,Class 4 
04/12/2016,4,Sha Tin, 1200M ,Class 4 
04/12/2016,5,Sha Tin, 1650M ,Class 4 
04/12/2016,6,Sha Tin, 1000M ,Class 3 
04/12/2016,7,Sha Tin, 1400M ,Class 4 
04/12/2016,8,Sha Tin, 1650M ,Class 3 
04/12/2016,9,Sha Tin, 1400M ,Class 3 
04/12/2016,10,Sha Tin, 1200M ,Class 2 
07/12/2016,1,Happy Valley, 1650M ,Class 5 
07/12/2016,2,Happy Valley, 1000M ,Class 3 
07/12/2016,3,Happy Valley, 1200M ,Class 3 
07/12/2016,4,Happy Valley, 1000M ,Class 4 
07/12/2016,5,Happy Valley, 1650M ,Class 4 
07/12/2016,6,Happy Valley, 1200M ,Class 4 
07/12/2016,7,Happy Valley, 1650M ,Class 4 
07/12/2016,8,Happy Valley, 1650M ,Class 3 
07/12/2016,9,Happy Valley, 1800M ,Class 2 
11/12/2016,1,Sha Tin, 1200M ,Class 3 
11/12/2016,2,Sha Tin, 1800M ,Class 3 
11/12/2016,3,Sha Tin, 1400M ,Class 3 
11/12/2016,6,Sha Tin, 1400M ,Class 1 
11/12/2016,9,Sha Tin, 1200M ,Class 2 
11/12/2016,10,Sha Tin, 1600M ,Class 2 
14/12/2016,1,Happy Valley, 2200M ,Class 4 
14/12/2016,2,Happy Valley, 1200M ,Class 5 
14/12/2016,3,Happy Valley, 1800M ,Class 5 
14/12/2016,4,Happy Valley, 1200M ,Class 4 
14/12/2016,5,Happy Valley, 1650M ,Class 4 
14/12/2016,6,Happy Valley, 1200M ,Class 3 
14/12/2016,7,Happy Valley, 1650M ,Class 3 
14/12/2016,8,Happy Valley, 1650M ,Class 3 
17/12/2016,1,Sha Tin, 1650M ,Class 5 
17/12/2016,2,Sha Tin, 1000M ,Class 4 
17/12/2016,3,Sha Tin, 1650M ,Class 2 
17/12/2016,4,Sha Tin, 1200M ,Class 4 
17/12/2016,5,Sha Tin, 1600M ,Class 4 
17/12/2016,6,Sha Tin, 1400M ,Class 4 
17/12/2016,7,Sha Tin, 1200M ,Class 3 
17/12/2016,8,Sha Tin, 1000M ,Class 2 
17/12/2016,9,Sha Tin, 1400M ,Class 3 
17/12/2016,10,Sha Tin, 1600M ,Class 3 
22/12/2016,1,Happy Valley, 1650M ,Class 4 
22/12/2016,2,Happy Valley, 1650M ,Class 5 
22/12/2016,3,Happy Valley, 1200M ,Class 4 
22/12/2016,4,Happy Valley, 1200M ,Class 4 
22/12/2016,5,Happy Valley, 1650M ,Class 4 
